column,label,lag1,n_eff
map,0,0.9968093829251683,25.565721812926984
map,1,0.9956949894557651,23.724319705992446
map,2,0.9941152910801665,44.265561872146506
map,3,0.9944845626527663,38.71759137403916
tps,0,0.9985762906828697,11.39778810560285
tps,1,0.9979654489311441,11.199389192264208
tps,2,0.9983070830581825,12.707633547692911
tps,3,0.9983143459549612,11.810375245697584
force,0,0.9980534264153618,15.587760038072766
force,1,0.9980824332675468,10.554819246887845
force,2,0.9982305855927842,13.28235905285336
force,3,0.9982442982119913,12.301589328143987
power,0,0.9979528095589417,16.39430466036046
power,1,0.9981103362903938,10.401088018408858
power,2,0.998063693926201,14.536368983269302
power,3,0.9980397903029711,13.735910616645127
rpm,0,0.9964705940557651,28.285162464146488
rpm,1,0.9961738024273904,21.080589702354366
rpm,2,0.9953263879486347,35.13419217722694
rpm,3,0.9955695096791757,31.084507295280325
cons_lph,0,0.9949758432504646,40.294476880276555
cons_lph,1,0.99760807767924,13.168930371106946
cons_lph,2,0.995880244767491,30.961942055212496
cons_lph,3,0.996020452258186,27.914367245135978
cons_l100km,0,0.9909488944363666,72.7380242771788
cons_l100km,1,0.9951598131826969,26.680757233067535
cons_l100km,2,0.996012455239608,29.966331747513838
cons_l100km,3,0.9960034586134129,28.033807111976408
speed,0,0.9965268515806066,27.833522332194228
speed,1,0.9962154578277718,20.85065249192013
speed,2,0.995340682424461,35.0264815671296
speed,3,0.9956908482866813,30.231352310890717
co,0,0.9976053355120801,19.180281072335465
co,1,0.9981021860207604,10.44599134604035
co,2,0.9982017110260483,13.49930513042403
co,3,0.998136889852662,13.054863911151996
hc,0,0.9944375918643241,44.623371788545974
hc,1,0.9979156437779408,11.473832642332768
hc,2,0.9939949354468574,45.173619398864496
hc,3,0.9941732269009826,40.90951029671645
co2,0,0.8976713995556708,862.7719253673857
co2,1,0.9748198249063958,140.23130727512557
co2,2,0.8932223005515867,845.9996965277439
co2,3,0.8876254787816128,833.5105079182221
o2,0,0.9960461672912801,31.69331670587857
o2,1,0.9962544434441672,20.635461143909406
o2,2,0.9963108298996468,27.71990747957803
o2,3,0.995728804853541,29.96449372286395
lambda_,0,0.7487720265991906,2298.554364590275
lambda_,1,0.9167822764068241,477.4817334984047
lambda_,2,0.7380892895840196,2260.3330449035557
lambda_,3,0.7367594306119668,2122.1311063807952
afr,0,0.7487955425023434,2298.30830550457
afr,1,0.9167743693296031,477.5290721532129
afr,2,0.7380998915213501,2260.227761559291
afr,3,0.7368625451897055,2121.1739034861475
